,Name_Store,Address
355,Luzern - Bruchstrasse,"Bruchstrasse 18, 6003 Luzern"
356,Luzern - Brüelstrasse,"Kreuzbuchstrasse 53, 6006 Luzern"
357,Luzern - Grossmatte,"Luzernerstrasse 143, 6014 Luzern"
358,Luzern - Schlossberg,"Friedentalstrasse 6, 6004 Luzern"
359,Luzern - Schweizerhof,"Hertensteinstrasse 9, 6004 Luzern"
360,Luzern - Schönbühl,"Langensandstr. 23, 6005 Luzern"
361,Luzern - Waldstätter,"Winkelriedstrasse 58, 6003 Luzern"
362,Luzern - Würzenbachstrasse,"Würzenbachstrasse 19, 6006 Luzern"
363,Lyss Lyssbachpark,"Steinweg 28, 3250 Lyss"
364,M Boudry,"Avenue du Collège 37, 2017 Boudry"
365,MP La Sarraz,"Chemin des Prés-Morés 2, 1315 La Sarraz"
366,Maggia,"Via Cantonale, 6673 Maggia"
367,Malters,"Weihermatte 7a/7b, 6102 Malters"
368,Marin-Centre,"Rue Fleur-de-Lys 26, 2074 Marin-Epagnier"
369,Marly - Centre,"Route des Pralettes 1, 1723 Marly"
370,Martigny - Manoir,"Rue du Manoir 1, 1920 Martigny"
371,Martigny Quartz Center,"Avenue de Fully 63, 1920 Martigny"
372,Massagno - Radio,"Via Besso 74, 6900 Massagno"
373,Matten,"Aegertiweg 33, 3812 Wilderswil"
374,Matzingen,"Frauenfelderstrasse 95, 9548 Matzingen"
375,Meilen,"Rosengartenstrasse 10, 8706 Meilen"
376,Meiringen,"Bahnhofstrasse 1, 3860 Meiringen"
377,Melano,"Via Cantonale, 6818 Melano"
378,Mellingen,"Lenzburgerstrasse 50, 5507 Mellingen"
379,Mels - Pizolpark,"Einkaufszentrum, 8879 Pizolpark (Mels)"
380,Mendrisio,"Via L. Lavizzari 2, Piazza alla Valle, 6850 Mendrisio"
381,Mendrisio Sud,"Via Campagna Adorna, 6850 Mendrisio"
382,Menziken,"Sagiweg 8, 5737 Menziken"
383,Meyrin,"Avenue de Feuillasse 24, 1217 Meyrin"
384,Migros Bridge,"Eisgasse 20, 8004 Zürich"
385,Migros Réception Ecublens,"Ch du Devent, 1024 Ecublens"
386,Minusio - Centro Borenco,"Via S.Gottardo 56, 6648 Minusio"
387,Montagny,"En Chamard, 1442 Montagny-près-Yverdon"
388,Montagny,"En Chamard 16, 1442 Montagny-près-Yverdon"
389,Monthey - M Central,"Avenue de la Gare 36, 1870 Monthey"
390,Montreux,"Place du Marché 6, 1820 Montreux"
391,Morbio Inferiore - Serfontana,"Viale Serfontana 20, 6834 Morbio Inferiore"
392,Morges,"Rue de la gare 19, 1110 Morges"
393,Moudon,"Avenue de Préville, 1510 Moudon"
394,Moutier,"Rue de l'Ecluse 1, 2740 Moutier"
395,Muri AG,"Kirchfeldstrasse 8, 5630 Muri AG"
396,Murten/Morat,"Bernstrasse 18, 3280 Murten"
397,Muttenz - Rothausstrasse,"Rothausstrasse 17, 4132 Muttenz"
398,Männedorf,"Alte Landstrasse 262, 8708 Männedorf"
399,Mézières,"Route de la Croix d'Or 2, 1083 Mézières VD"
400,Möhlin,"Hauptstrasse 91, 4313 Möhlin"
401,Müllheim,"Thurstrasse 3, 8555 Müllheim Dorf"
402,Münchenbuchsee - Tanne,"Bernstrasse 14, 3053 Münchenbuchsee"
403,Münchenstein - Gartenstadt,"Kaspar Pfeiffer-Strasse 2, 4142 Münchenstein"
404,Münchwilen,"Wilerstrasse 5, 9542 Münchwilen"
405,Münsingen,"Bahnhofplatz 5, 3110 Münsingen"
406,Naters,"Kelchbachstrasse 16, 3904 Naters"
407,Neuchâtel - Cadolles,"Rue du Plan 28, 2000 Neuchâtel"
408,Neuchâtel - Hôpital,"Rue de l'Hôpital 12, 2000 Neuchâtel"
409,Neuchâtel - Portes-Rouges,"Avenue des Portes-Rouges 46, 2000 Neuchâtel"
410,Neuenkirch,"Luzernstrasse 16, 6206 Neuenkirch"
411,Neunkirch,"Löhningerstrasse 4, 8213 Neunkirch"
412,Neyruz,"Place de la Gare 10, 1740 Neyruz FR"
413,Niederhasli,"Dorfstrasse 20, 8155 Niederhasli"
414,Niederurnen,"Ziegelbrückstrasse 21, 8867 Niederurnen"
415,Noville,"Route du Simplon, 1845 Noville"
416,Nussbaumen - Markthof,"Hertensteinstrasse, 5415 Nussbaumen b.Baden"
417,Nyon - La Combe,"Rue de la Morâche 6, 1260 Nyon"
418,Nyon - Porte de Nyon,"chemin de la Fontaine 1, 1260 Nyon"
419,Näfels,"Oberdorf 44, 8752 Näfels"
420,Oberengstringen,"Im Zentrum 2, 8102 Oberengstringen"
421,Oberglatt,"Kaiserstuhlstrasse 25, 8154 Oberglatt ZH"
422,Oberkirch,"Luzernstrasse 36, 6208 Oberkirch LU"
423,Oberriet,"Staatsstrasse 56, 9463 Oberriet SG"
424,Oberwil,"Mühlemattstrasse 18, 4104 Oberwil BL"
425,Oensingen,"Mühlefeldstrasse 53, 4702 Oensingen"
426,Oftringen,"Zürichstrasse 2, 4665 Oftringen"
427,Olten - Hammer,"Solothurnerstrasse 21, 4600 Olten"
428,Olten - Sälipark,"Louis Giroud-Strasse 20, 4600 Olten"
429,Opfikon - Glattpark,"Thurgauerstrasse 106, 8152 Opfikon"
430,Orbe,"Rue des Terreaux 22, 1350 Orbe"
431,Orbe Gruvatiez,"Route des Granges-Martin 22, 1350 Orbe"
432,Oron-la-Ville,"Route de Lausanne 2, 1610 Oron-la-Ville"
433,Ostermundigen,"Bernstrasse 114, 3072 Ostermundigen"
434,Ostermundigen Poststrasse,"Poststr. 1, 3072 Ostermundigen 1"
435,Outlet Dietlikon - Greenhouse,"Industriestrasse 31, 8305 Dietlikon"
436,Outlet Eglisau,"Sandgruebstrasse 1, 8193 Eglisau"
437,Payerne,"Rue du Temple 19, 1530 Payerne"
438,Peseux,"Rue Jämes-Paris 4, 2034 Peseux"
439,Pfungen,"Weiacherstrasse 1, 8422 Pfungen"
440,Pfäffikon - Seedammcenter,"Gwattstrasse 11, 8808 Pfäffikon SZ"
441,Pfäffikon ZH,"Turmstrasse 9, 8330 Pfäffikon ZH"
442,Pfäffikon ZH,"Bahnhofstrasse 11, 8330 Pfäffikon"
443,Plaffeien,"Obere Matte 9, 1716 Plaffeien"
444,Plan-les-Ouates,"Route de Saint-Julien 176, 1228 Plan-les-Ouates"
445,Porrentruy,"Faubourg St Germain 2, 2900 Porrentruy"
446,Porte de Versoix,"Chemin de l'ancien péage 1, 1290 Versoix"
447,Pratteln,"Burggartenstrasse 21, 4133 Pratteln"
448,Pratteln,"Krummeneichstrasse 39, 4133 Pratteln"
449,Pregassona,"Via alla Bozzoreda 39, 6963 Pregassona"
450,Prilly,"Route de Cossonay 9, 1008 Prilly"
451,Prilly - Malley,"Chemin du Viaduc 1, 1008 Prilly"
452,Préverenges,"Chemin du Vuasset 2, 1028 Préverenges"
453,Puidoux,"Chemin de Publoz 11, 1070 Puidoux"
454,Pully,"Chemin du Pré-de-la-Tour 3, 1009 Pully"
455,Rain,"Gääli 6, 6026 Rain"
456,Rapperswil - Sonnenhof,"Zürcherstrasse 4, 8640 Rapperswil SG"
457,Regensdorf - Zentrum,"Zentrum 1, 8105 Regensdorf"
458,Reichenburg,"Gewerbestrasse 4, 8864 Reichenburg"
459,Reiden,"Hauptstrasse 52, 6260 Reiden"
460,Reinach,"Sternenhofstrasse 10, 4153 Reinach BL"
461,Reinach AG,"Sandgasse 6, 5734 Reinach AG"
462,Renens,"Rue du Silo 7, 1020 Renens VD"
463,Renens - Florissant,"Avenue de Florissant 38, 1020 Renens VD"
464,Renens - Métropole,"Rue de la Mèbre 9, 1020 Renens VD"
465,Renens OBI,"Avenue du Silo 11, 1020 Renens VD"
466,Renens Quai Ouest,"Avenue d'Epenex 4c, 1020 Renens VD"
467,Renens Silo,"Rue du Silo 11, 1020 Renens"
468,Rheineck,"Rhyguetstrasse 2, 9424 Rheineck"
469,Rheinfelden,"Lindenstrasse 3, 4310 Rheinfelden"
470,Riazzino,"Via Cantonale 40, 6595 Riazzino"
471,Richterswil,"Schützengass 4, 8805 Richterswil"
472,Rolle,"Av. de la Gare 17, 1180 Rolle"
473,Romanel-sur-Lausanne,"En Félezin, 1032 Romanel-s-Lausanne"
474,Romanshorn - Hubzelg,"Bahnhofstrasse 54a, 8590 Romanshorn"
475,Romont,"Avenue de la Gare 7, 1680 Romont FR"
476,Rorschach - Trischliplatz,"Trischlistrasse 15, 9400 Rorschach"
477,Rothenburg M-Electronics,"Wahligenstrasse 4, 6023 Rothenburg"
478,Rothrist,"Neue Aarburgstrasse 20, 4852 Rothrist"
479,Rotkreuz,"Buonaserstrasse 1, 6343 Rotkreuz"
480,Ruopigen Zentrum Luzern,"Ruopigeplatz, 6015 Luzern"
481,Ruswil,"Rüediswilerstrasse 79, 6017 Ruswil"
482,Rümlang Hofwisencenter,"Hofwisenstrasse 40A, 8153 Rümlang"
483,Rüschlikon Parkside,"Zürcherstrasse 4, 8803 Rüschlikon"
484,Rüti ZH,"Bandwiesstrasse 6, 8630 Rüti ZH"
485,Saas Fee,"Hôtel du Glacier, 3906 Saas Fee"
486,Saignelégier,"Rue de la Gruère 23, 2350 Saignelégier"
487,Sainte-Croix,"Rue de l'Industrie 21, 1450 Ste-Croix"
488,Samedan,"Cho d`Punt 2, 7503 Samedan"
489,Samedan,"Cho d'Punt 10, 7503 Samedan"
490,Sarnen - Sarnen-Center,"Nelkenstrasse 5, 6060 Sarnen"
491,Savièse,"Centre Commercial du Stade, 1965 Savièse"
492,Saxon,"Rue de Gottefrey 38, 1907 Saxon"
493,Schaan,"Im Rösle 2, 9494 Schaan"
494,Schaffhausen - Buchthalen,"Dürstlingweg 2, 8203 Schaffhausen"
495,Schaffhausen - Herblinger Markt,"Stüdliackerstrasse 4, 8207 Schaffhausen"
496,Schaffhausen - Vorstadt,"Bahnhofstrasse 56/58, 8200 Schaffhausen"
497,Schindellegi,"Pfäffikonerstrasse 19, 8834 Schindellegi"
498,Schlieren - Kesslerplatz,"Badenerstrasse 57, 8952 Schlieren"
499,Schlieren - Rietbach,"Rietbachstrasse 14, 8952 Schlieren"
500,Schlieren - Zentrum,"Güterstrasse 5, 8952 Schlieren"
501,Schwarzenburg,"Freiburgstrasse 5b, 3150 Schwarzenburg"
502,Schöftland,"Picardiestrasse 3, 5040 Schöftland"
503,Schönbühl - Shoppyland,"Industriestrasse 10, 3321 Schönbühl EKZ"
504,Schönenwerd,"C.F. Ballystrasse 14, 5012 Schönenwerd"
505,Schüpfheim,"Vormüli 1, 6170 Schüpfheim"
506,Sembrancher,"Rue de la Chapalette 1, 1933 Sembrancher"
507,Sementina,"via al Ticino 28, 6514 Sementina"
508,Sempach Station,"Mettenwilstrasse 11, 6203 Sempach Station"
509,Seon,"Unterdorfstrasse 21, 5703 Seon"
510,Seuzach,"Winterthurerstrasse 5, 8472 Seuzach"
511,Sierre,"Avenue Général Guisan, 3960 Sierre"
512,Sierre Rossfeld,"Rte des Lacustres, 3960 Sierre"
513,Sion - Métropole,"Avenue de France 14-20, 1950 Sion"
514,Sion - Tourbillon Center,"Avenue Grand-Champsec 30, 1950 Sion"
515,Sirnach,"Winterthurerstrasse 27, 8370 Sirnach"
516,Sissach,"Hauptstrasse 17, 4450 Sissach"
517,Solothurn,"Wengistrasse 13, 4500 Solothurn"
518,Solothurn Baselstrasse,"Baselstrasse 30/32, 4500 Solothurn"
519,Solothurn Öufi,"Bielstrasse 80, 4500 Solothurn"
520,Spiez - Terminus,"Bahnhofstrasse, 3700 Spiez"
521,Spreitenbach,"Shopping-Center, 8957 Spreitenbach"
522,Spreitenbach - Tivoli,"Shoppi Tivoli, 8957 Spreitenbach"
523,St-Maurice,"Av. du Simplon 15, 1890 St-Maurice"
524,St. Gallen - Bruggen,"Fürstenlandstrasse 157, 9014 St. Gallen"
525,St. Gallen - Lachen,"Ulmenstrasse 11, 9000 St. Gallen"
526,St. Gallen - Neumarkt,"St. Leonhardstrasse 35, 9000 St. Gallen"
527,St. Gallen - Spisermarkt,"Brühlgasse 28, 9000 St. Gallen"
528,St. Gallen - St. Fiden,"Bachstrasse 29, 9008 St. Gallen"
529,St. Margrethen - Grenzstrasse,"Grenzstrasse 31, 9430 St. Margrethen SG"
530,St. Margrethen - Rheinpark,"Einkaufszentrum, 9430 St. Margrethen SG"
531,Stabio,"Via Giulia 43, 6855 Stabio"
532,Stalden,"Talstrasse, 3922 Stalden VS"
533,Stans - Länderpark,"Bitzistrasse 2, 6370 Stans"
534,Steckborn,"Im Feldbach 1b, 8266 Steckborn"
535,Steg,"Bahnhofstrasse, 3940 Steg VS"
536,Stein,"Schaffhauserstrasse 61, 4332 Stein AG"
537,Stein am Rhein,"Kaltenbacherstrasse 41, 8260 Stein am Rhein"
538,Steinhausen - Zugerland,"Hinterbergstrasse 40, 6312 Steinhausen"
539,Steinhausen Dorf,"Bahnhofstrasse 2, 6312 Steinhausen"
540,Stäfa,"Goethestrasse 18, 8712 Stäfa"
541,Suhr Suhrepark,"Bernstrasse Ost 52, 5034 Suhr"
542,Sulgen - Passerelle,"Hauptstrasse 3, 8583 Sulgen"
543,Surseepark,"Bahnhofstrasse 28, 6210 Sursee"
544,Tavannes,"Rue de Pierre-Pertuis 11, 2710 Tavannes"
545,Taverne,"Via Cantonale, 6807 Taverne"
546,Taverne,"Via Brüsighell 6, 6807 Taverne"
547,Tenero,"Via al Giardino, 6598 Tenero"
548,Tesserete,"Via Luigi Canonica 40, 6950 Tesserete"
549,Teufen,"Speicherstrasse 8, 9053 Teufen AR"
550,Thalwil,"Alte Landstrasse 130, 8800 Thalwil"
551,Thayngen,"Biberstrasse 30, 8240 Thayngen"
552,Thierrens,"Rue du Collège 6, 1410 Thierrens"
553,Thun - Bälliz,"Bälliz 2, 3600 Thun"
554,Thun - Dürrenast,"Frutigenstrasse 60, 3604 Thun"
555,Thun - Oberland,"Talackerstrasse 62, 3604 Thun"
556,Thun - Panorama Center,"Weststrasse 14, 3604 Thun"
557,Thusis - im Park,"Im Park, 7430 Thusis"
558,Trübbach,"Staatsstrasse 10, 9477 Trübbach"
559,Turbenthal,"Tösstalstrasse 54, 8488 Turbenthal"
560,Tägerwilen,"Hauptstrasse 117, 8274 Tägerwilen"
561,Uetendorf,"Dorfstrasse 21, 3661 Uetendorf"
562,Uitikon-Waldegg,"Zürcherstrasse 8, 8142 Uitikon Waldegg"
563,Unterentfelden,"Binzmattweg 8, 5035 Unterentfelden"
564,Unterägeri,"Zugerstrasse 32, 6314 Unterägeri"
565,Urdorf - Spitzacker,"Birmensdorferstrasse 87, 8902 Urdorf"
566,Uster - Illuster,"Zürichstrasse 20, 8610 Uster"
567,Uster-West,"Winterthurerstrasse 18, 8610 Uster"
568,Utzenstorf - Linde,"Hauptstrasse 29, 3427 Utzenstorf"
569,Uznach - Frohsinn,"Zürcherstrasse 25, 8730 Uznach"
570,Uzwil - Birkenhof,"Lindenstrasse 5, 9240 Uzwil"
571,VOI Aarburg,"Bahnhofstrasse 59, 4663 Aarburg"
572,VOI Aarwangen,"Langenthalstrasse 44, 4912 Aarwangen"
573,VOI Alpnach,"Brünigstrasse 29, 6055 Alpnach Dorf"
574,VOI Baden - Mellingerstrasse,"Mellingerstrasse 142, 5400 Baden"
575,VOI Bern - Fellergut,"Mühledorfstrasse 15, 3018 Bern"
576,VOI Bern - Fischermätteli,"Könizstrasse 60, 3008 Bern"
577,VOI Bern - Kramgasse,"Kramgasse 54, 3011 Bern"
578,VOI Bern - Schosshalde,"Schossshaldenstrasse 16, 3006 Bern"
579,VOI Bern - Spiegel,"Chasseralstrasse 156, 3095 Spiegel b. Bern"
580,VOI Bern - Viktoriastrasse,"Viktoriastrasse 49, 3013 Bern"
581,VOI Beromünster,"Aargauerstrasse 16, 6215 Beromünster"
582,VOI Bettlach,"Dorfstrasse 12, 2544 Bettlach"
583,VOI Biel - Jardin du Paradis,"Jakob-Stämpflistrasse 112, 2502 Biel/Bienne"
584,VOI Biel - Mett,"Schollstrasse 2, 2504 Biel/Bienne"
585,VOI Boll,"Kernstrasse 9, 3067 Boll"
586,VOI Brügg,"Hauptstrasse 17, 2555 Brügg BE"
587,VOI Buchs ZH,"Meierwiesenstrasse 20, 8107 Buchs ZH"
588,VOI Büron,"Sagipark 7, 6233 Büron"
589,VOI Dulliken,"Grundstrasse 1, 4657 Dulliken"
590,VOI Geroldswil,"Huebwiesenstrasse 26b, 8954 Geroldswil"
591,VOI Gland,"Rue du Borgeaud 10d, 1196 Gland"
592,VOI Grindelwald,"Dorfstrasse 155, 3818 Grindelwald"
593,VOI Horgen,"Seestrasse 288, 8810 Horgen"
594,VOI Ins,"Moosgasse 7, 3232 Ins"
595,VOI Jegenstorf,"Solothurnstrasse 24, 3303 Jegenstorf"
596,VOI Kappel,"Mittelgäustrasse 22, 4616 Kappel SO"
597,VOI Lengnau,"Bielstrasse 35, 2543 Lengnau BE"
598,VOI Meyrin - Les Vergers,"3, place de la Diversité, 1217 Meyrin"
599,VOI Niederbipp,"Wydenstrasse 9, 4704 Niederbipp"
600,VOI Niedergösgen,"Aarestrasse 49, 5013 Niedergösgen"
601,VOI Niederlenz,"Lenzburgerstrasse 2, 5702 Niederlenz"
602,VOI Roggwil,"Dorfstrasse 19, 4914 Roggwil BE"
603,VOI Rombach,"Bibersteinstrasse 4, 5022 Rombach"
604,VOI Rümlang,"Lindenstrasse 16, 8153 Rümlang"
605,VOI Safenwil,"Güterstrasse 1A, 5745 Safenwil"
606,VOI Schwerzenbach,"Bahnstrasse 14, 8603 Schwerzenbach"
607,VOI Seengen,"Unterdorfstrasse 7a, 5707 Seengen"
608,VOI Siebnen,"Glarnerstrasse 36, 8854 Siebnen"
609,VOI Stans,"Marktgasse 2, 6370 Stans"
610,VOI Steffisburg,"Bahnhofstrasse 87, 3613 Steffisburg"
611,VOI Strengelbach,"Langenthalerstrasse 1, 4802 Strengelbach"
612,VOI Studen,"Hauptstrasse 65, 2557 Studen"
613,VOI Sumiswald,"Spitalstrasse 10, 3454 Sumiswald"
614,VOI Trimbach,"Chäppeligasse 5, 4632 Trimbach"
615,VOI Wabern,"Seftigenstrasse 259, 3084 Wabern"
616,VOI Wallisellen,"Schäfligrabenstrasse 45, 8304 Wallisellen"
617,VOI Wangen a. Aare,"Vorstadt 14, 3380 Wangen an der Aare"
618,VOI Wichtrach,"Dorfplatz 1, 3114 Wichtrach"
619,VOI Wilderswil,"Hauptstrasse 27, 3812 Wilderswil"
620,VOI Zürich - Hönggerstrasse,"Hönggerstrasse 117, 8037 Zürich"
621,VOI Zürich - In der Ey,"Letzigraben 239, 8047 Zürich"
622,VOI Zürich - Leimbach,"Ankenweid 10, 8041 Zürich"
623,VOI Zürich - Paradies,"Paradiesstrasse 3, 8038 Zürich"
624,VOI Zürich - Witikon,"Loorenstrasse 35, 8053 Zürich"
625,Vallorbe,"Grand-Rue 23, 1337 Vallorbe"
626,Verbier,"Les Arcades, 1936 Verbier"
627,Vevey - Midi Coindet,"Av. Gustave Coindet 11, 1800 Vevey"
628,Vevey Des 2 Gares,"Rue des Moulins 5 b, 1800 Vevey"
629,Villars-Ste-Croix,"Route de Cossonay 3, 1029 Villars-Ste-Croix"
630,Villars-sur-Ollon,"Rue Centrale 99, 1884 Villars-sur-Ollon"
631,Visp,"Brückenweg 10, 3930 Visp"
632,Volketswil,"Im Zentrum 18, 8604 Volketswil"
633,Volketswil,"Industriestrasse 20a, 8604 Volketswil"
634,Volketswil Fachmärkte,"Industriestrasse 20, 8604 Volketswil"
635,Wabern - Chly Wabere,"Seftigenstrasse 368, 3084 Wabern"
636,Wald ZH,"Bahnhofstrasse 20, 8636 Wald ZH"
637,Walenstadt,"Bahnhofstrasse 27, 8880 Walenstadt"
638,Walke,"Walke 39, 9100 Herisau"
639,Wallisellen,"Bahnhofstrasse 30, 8304 Wallisellen"
640,Wallisellen - Glattzentrum,"Neue Winterthurerstrasse 99, 8304 Wallisellen"
641,Wattwil,"Bahnhofstrasse 19, 9630 Wattwil"
642,Weggis,"Luzernerstrasse 44, 6353 Weggis"
643,Weinbergli Luzern,"Tribschenstrasse 62, 6005 Luzern"
644,Weinfelden - Rösslifelsen,"Amriswilerstrasse 12, 8570 Weinfelden"
645,Weinfelden Weststrasse,"Weststrasse 27/29, 8570 Weinfelden"
646,Welle7 Collect-Lounge,"Schanzenstrasse 5, 3008 Bern"
647,Westside Services,"Riedbachstrasse 100, 3027 Bern Brünnen"
648,Wettingen - Landstrasse,"Landstrasse 69, 5430 Wettingen"
649,Wetzikon - Züri-Oberland-Märt,"Bahnhofstrasse 151, 8620 Wetzikon ZH"
650,Wetzikon-Kempten,"Mühlenbühlstrasse 3, 8623 Wetzikon ZH"
651,Widnau - Rhydorf-Center,"Bahnhofstrasse 2, 9443 Widnau"
652,Wil Larag,"Churfirstenstrasse 54, 9501 Wil SG"
653,Wil SG,"Obere Bahnhofstrasse 5, 9500 Wil SG"
654,Wildegg,"Bruggerstrasse 11 c, 5103 Wildegg"
655,Willisau - Chrüzhof,"Ettiswilerstrasse 14, 6130 Willisau"
656,Windisch,"Bachmattstrasse 35, 5210 Windisch"
657,Winterthur - Blumenau,"Wülflingerstrasse 71, 8400 Winterthur"
658,Winterthur - Deutweg,"Pflanzschulstrasse 9, 8400 Winterthur"
659,Winterthur - Hegi,"Hintermühlenstrasse 4, 8409 Winterthur"
660,Winterthur - Neuwiesen,"Strickerstrasse 3, 8400 Winterthur"
661,Winterthur - Obertor,"Stadthausstrasse 31, 8400 Winterthur"
662,Winterthur - Oberwinterthur,"Guggenbühlstrasse 1, 8404 Winterthur"
663,Winterthur - Rosenberg,"Schaffhauserstrasse 152, 8400 Winterthur"
664,Winterthur - Seen,"Hinterdorfstrasse 40, 8405 Winterthur"
665,Winterthur - Töss,"Zürcherstrasse 102, 8406 Winterthur"
666,Winterthur - Wülflingen,"Lindenplatz 1, 8408 Winterthur"
667,Wittenbach,"Oedenhof 1c, 9300 Wittenbach"
668,Wohlen,"Bahnhofstrasse 7, 5610 Wohlen AG"
669,Wolhusen - Dorfmärt,"Entlebucherstr. 36, 6110 Wolhusen"
670,Wollerau Märt Roospark,"Roosstrasse 23, 8832 Wollerau"
671,Worb,"Richigenstrasse 1, 3076 Worb"
672,Wädenswil,"Oberdorfstrasse 27-31, 8820 Wädenswil"
673,Wädenswil Zürisee Center,"Rütistrasse 1, 8820 Wädenswil"
674,Yverdon - Métropole,"Rue de Neuchâtel 3, 1400 Yverdon-les-Bains"
675,Yverdon Sud,"Rue de Lausanne 10, 1400 Yverdon-les-Bains"
676,Yvonand,"Rue des Vergers, 1462 Yvonand"
677,Zell,"Zelgmatte 2, 6144 Zell LU"
678,Zermatt,"Hofmattstrasse 12, 3920 Zermatt"
679,Zofingen,"Aarburgerstrasse 5, 4800 Zofingen"
680,Zollikofen,"Bernstrasse 103, 3052 Zollikofen"
681,Zollikon - Dorf,"Rotfluhstrasse 100, 8702 Zollikon"
682,Zuchwil,"Hauptstrasse 60-62, 4528 Zuchwil"
683,Zug - Metalli,"Baarerstrasse 22, 6300 Zug"
684,Zug Herti,"Hertizentrum 10, 6300 Zug"
685,Zumikon,"Dorfstrasse 17, 8126 Zumikon"
686,Zuzwil,"Herbergstrasse 17, 9524 Zuzwil SG"
687,Zweisimmen,"Thunstrasse 11, 3770 Zweisimmen"
688,Zürich - Affoltern,"Jonas-Furrer-Strasse 21, 8046 Zürich"
689,Zürich - Affoltern,"S-Bahn Riedenhaldenstrasse, 8046 Zürich"
690,Zürich - Airport,"Flughafen Zürich AG, 8058 Zürich - Flughafen"
691,Zürich - Albisriederplatz,"Badenerstrasse 376, 8004 Zürich"
695,Zürich - Albisriederstrasse,"Albisriederstrasse 253, 8047 Zürich"
696,Zürich - Altstetten Neumarkt,"Altstetterstrasse 145, 8048 Zürich"
697,Zürich - Bahnhof Enge,"Tessinerplatz 10, 8002 Zürich"
698,Zürich - Brunaupark,"Giesshübelstrasse 65, 8045 Zürich"
699,Zürich - City,"Löwenstrasse 31-35, 8001 Zürich"
700,Zürich - HB Sihlquai,"Sihlpassage, 8004 Zürich"
701,Zürich - Herdern,"Pfingstweidstrasse 101, 8005 Zürich"
702,Zürich - Höngg,"Regensdorferstrasse 20, 8049 Zürich"
703,Zürich - Höschgasse,"Seefeldstrasse 111-113, 8008 Zürich"
704,Zürich - Kreuzplatz,"Kreuzplatz 20, 8008 Zürich"
705,Zürich - Leimbach Sihlbogen,"Leimbachstrasse 23, 8041 Zürich"
706,Zürich - Limmatplatz,"Limmatstrasse 152, 8005 Zürich"
707,Zürich - Oerlikon Neumarkt,"Hofwiesenstrasse 350-354, 8050 Zürich"
708,Zürich - Puls 5 M-Express,"Hardturmstrasse 11, 8005 Zürich"
709,Zürich - Pünt,"Albisriederstrasse 365, 8047 Zürich"
710,Zürich - Rigiplatz,"Winterthurerstrasse 2-4, 8006 Zürich"
711,Zürich - Schmiede Wiedikon,"Birmensdorferstrasse 140, 8003 Zürich"
712,Zürich - Schwamendingen,"Winterthurerstrasse 524, 8051 Zürich"
713,Zürich - Seebach,"Schaffhauserstrasse 470, 8052 Zürich"
714,Zürich - Stadelhofen,"Falkenstrasse 19 - 21, 8008 Zürich"
715,Zürich - Wengihof,"Wengistrasse 7, 8004 Zürich"
716,Zürich - Wiedikon M-Märt,"Birmensdorferstrasse 320, 8055 Zürich"
717,Zürich - Witikon-Zentrum,"Witikonerstrasse 293, 8053 Zürich"
718,Zürich - Wollishofen,"Etzelstrasse 3, 8038 Zürich"
